1,1,52.6,60.3,123.5,57.900000000000006,1,1,1.0
1,2,312.4,0.0,397.61,112.1,1,1,1.0
1,3,97.9,0.0,219.20000000000002,62.2,1,1,1.0
1,4,0.0,16.42,16.91,25.199999999999996,1,1,1.0
2,1,33.4,56.7,121.6,55.3,1,1,1.0
2,2,311.0,1.0,397.0,112.0,1,1,1.0
2,3,98.0,0.0,219.0,63.0,1,1,1.0
2,4,0.0,16.6,10.3,25.019999999999996,1,1,1.0
3,1,16.8,53.0,116.50000000000001,56.0,1,1,1.0
3,2,311.0,1.0,397.0,112.0,1,1,1.0
3,3,98.0,0.0,219.0,63.0,1,1,1.0
3,4,0.0,16.6,2.8,25.019999999999996,1,1,1.0
4,1,1.4,49.7,113.19999999999999,55.3,1,1,1.0
4,2,310.0,2.0,397.0,112.0,1,1,1.0
4,3,97.0,0.0,219.0,64.0,1,1,1.0
5,1,0.0,46.7,95.8,55.3,1,1,1.0
5,2,309.0,1.0,397.0,112.0,1,1,1.0
5,3,96.4,0.0,217.6,64.0,1,1,1.0
6,1,0.0,45.2,76.2,51.230000000000004,1,1,1.0
6,2,308.0,0.0,398.79999999999995,112.0,1,1,1.0
6,3,96.0,0.0,217.32,63.0,1,1,1.0
7,1,0.52,40.6,58.58,52.800000000000004,1,1,1.0
7,2,307.0,0.0,397.0,112.0,1,1,1.0
7,3,94.0,0.0,219.0,64.0,1,1,1.0
8,1,0.0,39.6,42.9,50.04,1,1,1.0
8,2,307.0,0.0,397.0,112.0,1,1,1.0
8,3,94.0,0.03,219.0,63.37,1,1,1.0
9,1,0.0,42.3,27.3,39.84,1,1,1.0
9,2,307.0,0.0,397.0,112.0,1,1,1.0
9,3,93.61,0.0,219.0,64.4,1,1,1.0
10,1,0.0,45.1,13.9,31.509999999999998,1,1,1.0
10,2,306.0,0.0,397.0,112.0,1,1,1.0
10,3,94.0,0.0,219.0,64.0,1,1,1.0
10,5,916.0,187.33,44.0,77.34,1,1,1.0
11,2,306.0,0.0,397.0,112.0,1,1,1.0
11,3,94.0,0.0,219.0,64.0,1,1,1.0
11,5,868.8,187.33,91.20000000000005,80.27000000000001,1,1,1.0
12,2,305.0,0.0,397.0,112.0,1,1,1.0
12,3,99.0,0.0,219.0,63.0,1,1,1.0
12,5,823.4,174.4,136.60000000000002,90.97,1,1,1.0
13,2,305.0,0.0,397.0,112.0,1,1,1.0
13,3,97.0,1.0,219.0,62.0,1,1,1.0
13,5,776.9,159.5,183.10000000000002,105.87,1,1,1.0
